CustomerID,TotalRevenue,AvgRevenuePerTransaction,TotalTransactions,TotalQuantity,TotalOrders,UniqueProducts,FirstPurchase,LastPurchase,Country,Recency,Frequency,Monetary,AOV,CustomerLifetime,Cluster,Segment
C10001,22885.809999999998,2860.7262499999997,8,63,3,8,2025-01-31 22:58:00,2025-08-03 17:27:00,India,117,3,22885.809999999998,7628.603333333333,183,1,Champions (High-Value Loyal)
C10003,12061.04,4020.346666666667,3,10,1,3,2025-10-26 12:49:00,2025-10-26 12:49:00,United Kingdom,33,1,12061.04,12061.04,0,0,Recent Moderate Buyers
C10004,10579.97,1511.4242857142856,7,16,2,5,2025-05-03 09:49:00,2025-10-19 10:11:00,United Kingdom,40,2,10579.97,5289.985,169,0,Recent Moderate Buyers
C10005,14154.57,2022.0814285714284,7,17,2,7,2025-01-10 13:05:00,2025-02-04 15:14:00,Germany,297,2,14154.57,7077.285,25,3,At-Risk Big Spenders
C10006,27389.290000000005,3043.2544444444447,9,27,3,8,2025-07-04 20:26:00,2025-10-28 13:36:00,India,31,3,27389.290000000005,9129.763333333334,115,1,Champions (High-Value Loyal)
C10007,18247.42,2027.491111111111,9,28,4,8,2025-03-31 17:20:00,2025-09-14 22:08:00,Netherlands,74,4,18247.42,4561.855,167,1,Champions (High-Value Loyal)
C10008,15900.74,1590.074,10,31,3,8,2025-01-25 18:05:00,2025-11-20 08:29:00,United Kingdom,8,3,15900.74,5300.246666666667,298,1,Champions (High-Value Loyal)
C10009,9138.4,1523.0666666666666,6,13,2,6,2025-01-19 11:54:00,2025-05-20 10:11:00,United Kingdom,192,2,9138.4,4569.2,120,3,At-Risk Big Spenders
C10010,8610.83,2870.2766666666666,3,19,2,3,2025-06-02 17:38:00,2025-08-10 09:31:00,United Kingdom,110,2,8610.83,4305.415,68,0,Recent Moderate Buyers
C10011,706.78,706.78,1,1,1,1,2025-08-19 15:34:00,2025-08-19 15:34:00,United Kingdom,101,1,706.78,706.78,0,2,Low-Value Customers
C10012,9485.27,1580.8783333333333,6,14,1,6,2025-04-18 18:08:00,2025-04-18 18:08:00,United Kingdom,224,1,9485.27,9485.27,0,3,At-Risk Big Spenders
C10014,44386.66,3170.4757142857147,14,68,2,12,2025-04-18 12:58:00,2025-09-13 09:27:00,United Kingdom,76,2,44386.66,22193.33,147,0,Recent Moderate Buyers
C10015,27418.48,2492.589090909091,11,32,3,10,2025-03-15 18:02:00,2025-11-04 11:47:00,India,24,3,27418.48,9139.493333333334,233,1,Champions (High-Value Loyal)
C10016,6347.87,2115.9566666666665,3,4,2,3,2025-03-15 20:55:00,2025-06-28 22:14:00,United Kingdom,152,2,6347.87,3173.935,105,3,At-Risk Big Spenders
C10017,2901.65,967.2166666666667,3,7,1,3,2025-11-09 13:48:00,2025-11-09 13:48:00,United Kingdom,19,1,2901.65,2901.65,0,0,Recent Moderate Buyers
C10018,8604.92,4302.46,2,5,1,2,2025-08-28 11:54:00,2025-08-28 11:54:00,India,92,1,8604.92,8604.92,0,0,Recent Moderate Buyers
C10021,15502.15,2583.6916666666666,6,18,2,6,2025-06-22 21:50:00,2025-07-19 20:28:00,France,131,2,15502.15,7751.075,26,0,Recent Moderate Buyers
C10023,16624.32,1662.432,10,41,3,9,2025-02-14 10:27:00,2025-04-29 21:33:00,United Kingdom,212,3,16624.32,5541.44,74,3,At-Risk Big Spenders
C10025,16237.1,2319.5857142857144,7,15,3,7,2025-02-06 11:56:00,2025-07-15 10:32:00,Australia,136,3,16237.1,5412.366666666667,158,1,Champions (High-Value Loyal)
C10027,38387.14,12795.713333333333,3,26,2,3,2025-09-15 09:08:00,2025-10-01 17:54:00,United Kingdom,58,2,38387.14,19193.57,16,0,Recent Moderate Buyers
C10028,21765.78,1674.2907692307692,13,27,5,11,2025-04-18 15:41:00,2025-11-24 10:01:00,United Kingdom,4,5,21765.78,4353.156,219,1,Champions (High-Value Loyal)
C10029,3399.69,1699.845,2,13,1,2,2025-06-20 16:13:00,2025-06-20 16:13:00,EIRE,161,1,3399.69,3399.69,0,2,Low-Value Customers
C10030,5671.55,1134.31,5,13,1,5,2025-03-25 16:10:00,2025-03-25 16:10:00,India,248,1,5671.55,5671.55,0,3,At-Risk Big Spenders
C10031,35387.29,8846.8225,4,32,1,4,2025-02-15 19:56:00,2025-02-15 19:56:00,France,285,1,35387.29,35387.29,0,3,At-Risk Big Spenders
C10032,21031.96,3505.3266666666664,6,39,2,6,2025-05-06 17:47:00,2025-09-28 11:40:00,Germany,61,2,21031.96,10515.98,144,0,Recent Moderate Buyers
C10033,3152.19,1050.73,3,3,1,3,2025-11-12 17:03:00,2025-11-12 17:03:00,United Kingdom,16,1,3152.19,3152.19,0,0,Recent Moderate Buyers
C10035,11499.62,2299.924,5,22,2,4,2025-04-12 15:47:00,2025-04-15 19:28:00,United Kingdom,226,2,11499.62,5749.81,3,3,At-Risk Big Spenders
C10036,14067.069999999998,3516.7674999999995,4,18,1,4,2025-01-28 19:58:00,2025-01-28 19:58:00,United Kingdom,303,1,14067.069999999998,14067.069999999998,0,3,At-Risk Big Spenders
C10038,3600.58,3600.58,1,2,1,1,2025-10-18 22:54:00,2025-10-18 22:54:00,India,40,1,3600.58,3600.58,0,0,Recent Moderate Buyers
C10039,10287.849999999999,1714.6416666666664,6,19,2,6,2025-01-11 19:41:00,2025-10-29 12:41:00,Netherlands,30,2,10287.849999999999,5143.924999999999,290,0,Recent Moderate Buyers
C10041,10991.81,1570.2585714285713,7,20,2,7,2025-09-03 15:41:00,2025-10-01 19:31:00,India,57,2,10991.81,5495.905,28,0,Recent Moderate Buyers
C10042,6080.18,1013.3633333333333,6,9,3,5,2025-01-16 21:10:00,2025-06-09 22:56:00,United Kingdom,171,3,6080.18,2026.7266666666667,144,3,At-Risk Big Spenders
C10043,9670.71,1208.83875,8,12,2,7,2025-03-18 08:02:00,2025-05-27 09:45:00,United Kingdom,185,2,9670.71,4835.355,70,3,At-Risk Big Spenders
C10044,11581.619999999999,1930.2699999999998,6,13,2,6,2025-01-29 22:35:00,2025-04-23 20:14:00,United Kingdom,218,2,11581.619999999999,5790.8099999999995,83,3,At-Risk Big Spenders
C10045,11177.9,1596.8428571428572,7,20,3,7,2025-01-16 11:12:00,2025-05-28 16:01:00,United Kingdom,184,3,11177.9,3725.9666666666667,132,3,At-Risk Big Spenders
C10046,33107.76,2758.98,12,46,4,9,2025-01-07 11:02:00,2025-02-28 08:54:00,United Kingdom,273,4,33107.76,8276.94,51,1,Champions (High-Value Loyal)
C10047,9296.14,2324.035,4,14,2,4,2025-01-05 21:08:00,2025-05-20 09:18:00,United Kingdom,192,2,9296.14,4648.07,134,3,At-Risk Big Spenders
C10048,24667.88,4933.576,5,31,1,5,2025-01-29 15:38:00,2025-01-29 15:38:00,United Kingdom,303,1,24667.88,24667.88,0,3,At-Risk Big Spenders
C10049,13512.23,4504.076666666667,3,9,1,3,2025-02-15 10:58:00,2025-02-15 10:58:00,India,286,1,13512.23,13512.23,0,3,At-Risk Big Spenders
C10050,4796.66,1598.8866666666665,3,7,2,3,2025-02-25 18:53:00,2025-02-27 21:33:00,United Kingdom,273,2,4796.66,2398.33,2,3,At-Risk Big Spenders
C10051,7838.55,1567.71,5,12,1,5,2025-11-07 19:31:00,2025-11-07 19:31:00,United Kingdom,20,1,7838.55,7838.55,0,0,Recent Moderate Buyers
C10054,6096.74,2032.2466666666667,3,7,1,3,2025-05-16 18:34:00,2025-05-16 18:34:00,Portugal,196,1,6096.74,6096.74,0,3,At-Risk Big Spenders
C10055,3144.7200000000003,1572.3600000000001,2,7,1,2,2025-03-09 22:31:00,2025-03-09 22:31:00,India,263,1,3144.7200000000003,3144.7200000000003,0,3,At-Risk Big Spenders
C10056,4359.58,871.9159999999999,5,11,2,4,2025-06-05 14:16:00,2025-06-13 19:29:00,India,167,2,4359.58,2179.79,8,3,At-Risk Big Spenders
C10057,1581.78,1581.78,1,3,1,1,2025-11-17 15:20:00,2025-11-17 15:20:00,United Kingdom,11,1,1581.78,1581.78,0,2,Low-Value Customers
C10058,3577.16,3577.16,1,2,1,1,2025-02-19 13:30:00,2025-02-19 13:30:00,Germany,282,1,3577.16,3577.16,0,3,At-Risk Big Spenders
C10059,13689.19,2737.838,5,14,2,4,2025-03-26 13:29:00,2025-08-15 18:42:00,United Kingdom,105,2,13689.19,6844.595,142,0,Recent Moderate Buyers
C10060,13548.21,1693.52625,8,18,1,8,2025-03-24 13:13:00,2025-03-24 13:13:00,United Kingdom,249,1,13548.21,13548.21,0,3,At-Risk Big Spenders
C10061,7213.26,3606.63,2,6,1,2,2025-03-02 20:50:00,2025-03-02 20:50:00,Canada,270,1,7213.26,7213.26,0,3,At-Risk Big Spenders
C10062,32858.71,2347.050714285714,14,59,4,10,2025-01-04 20:57:00,2025-09-20 13:01:00,India,69,4,32858.71,8214.6775,258,1,Champions (High-Value Loyal)
C10063,27891.769999999997,2324.3141666666666,12,40,3,10,2025-02-20 14:26:00,2025-05-30 10:05:00,United Kingdom,182,3,27891.769999999997,9297.256666666666,98,1,Champions (High-Value Loyal)
C10064,39755.21,3058.0930769230768,13,49,3,12,2025-05-23 11:29:00,2025-07-15 14:21:00,India,136,3,39755.21,13251.736666666666,53,1,Champions (High-Value Loyal)
C10066,30582.429999999997,7645.607499999999,4,16,2,4,2025-07-28 22:23:00,2025-11-16 22:25:00,France,11,2,30582.429999999997,15291.214999999998,111,0,Recent Moderate Buyers
C10067,7914.46,3957.23,2,13,1,2,2025-06-18 21:07:00,2025-06-18 21:07:00,United Kingdom,162,1,7914.46,7914.46,0,3,At-Risk Big Spenders
C10068,8119.380000000001,4059.6900000000005,2,6,1,2,2025-11-13 19:39:00,2025-11-13 19:39:00,United Kingdom,14,1,8119.380000000001,8119.380000000001,0,0,Recent Moderate Buyers
C10070,9674.630000000001,1612.4383333333335,6,14,2,5,2025-06-07 12:32:00,2025-09-27 16:32:00,United Kingdom,62,2,9674.630000000001,4837.3150000000005,112,0,Recent Moderate Buyers
C10071,6065.3,3032.65,2,7,1,2,2025-09-15 10:29:00,2025-09-15 10:29:00,United Kingdom,74,1,6065.3,6065.3,0,0,Recent Moderate Buyers
C10072,3264.27,1632.135,2,5,1,2,2025-08-24 13:09:00,2025-08-24 13:09:00,Portugal,96,1,3264.27,3264.27,0,2,Low-Value Customers
